,spy_ret,agg_ret,regime_0,regime_1
2014-12-31,1,0,0.0855526272909,0.914447372709
2015-01-31,0,1,0.89506324686,0.10493675314
2015-02-28,0.8,0.2,0.469486765739,0.530513234261
2015-03-31,1,0,0.109244394718,0.890755605282
2015-04-30,1,0,0.0185317800155,0.981468219985
2015-05-31,1,0,0.00622124088437,0.993778759116
2015-06-30,1,0,0.0267955097604,0.97320449024
2015-07-31,1,0,0.0140862236852,0.985913776315
2015-08-31,0,1,0.999999999363,6.36507640772e-10
2015-09-30,0,1,0.999999696006,3.03994003324e-07
2015-10-31,0,1,0.777025816128,0.222974183872
2015-11-30,1,0,0.374751843206,0.625248156794
2015-12-31,1,0,0.356959689405,0.643040310595
2016-01-31,0,1,0.914848210969,0.0851517890309
2016-02-29,0,1,0.996775672381,0.0032243276188
2016-03-31,0,1,0.704008272052,0.295991727948
2016-04-30,1,0,0.252526798444,0.747473201556
2016-05-31,1,0,0.033806626204,0.966193373796
2016-06-30,1,0,0.00827987710661,0.991720122893
2016-07-31,1,0,0.00407299724605,0.995927002754
2016-08-31,1,0,0.00257916004264,0.997420839957
2016-09-30,1,0,0.00262432410649,0.997375675894
2016-10-31,1,0,0.0114152722647,0.988584727735
2016-11-30,1,0,0.00518510952349,0.994814890477
2016-12-31,1,0,0.00404673045089,0.995953269549
2017-01-31,1,0,0.00758669531159,0.992413304688
2017-02-28,1,0,0.00504398100225,0.994956018998
2017-03-31,1,0,0.0049268835531,0.995073116447
2017-04-30,1,0,0.0108233598373,0.989176640163
2017-05-31,1,0,0.0122843725374,0.987715627463
2017-06-30,1,0,0.00762327867329,0.992376721327
2017-07-31,1,0,0.0128634805328,0.987136519467
2017-08-31,1,0,0.00924138689363,0.990758613106
2017-09-30,1,0,0.0302237410635,0.969776258936
2017-10-31,1,0,0.0226270444018,0.977372955598
2017-11-30,1,0,0.00752361450555,0.992476385494
2017-12-31,1,0,0.00498427603229,0.995015723968
2018-01-31,1,0,0.00265922685637,0.997340773144
2018-02-28,1,0,0.29782800752,0.70217199248
2018-03-31,0,1,0.892946159918,0.107053840082
2018-04-30,0.8,0.2,0.484292008865,0.515707991135
2018-05-31,1,0,0.0858831449445,0.914116855056
2018-06-30,1,0,0.0185476267166,0.981452373283
2018-07-31,1,0,0.00288085678708,0.997119143213
2018-08-31,1,0,0.00153059764566,0.998469402354
2018-09-30,1,0,0.00197771615317,0.998022283847
2018-10-31,0,1,0.880028888383,0.119971111617
2018-11-30,0,1,0.862033339508,0.137966660492
2018-12-31,0,1,0.999999995598,4.40178578195e-09
2019-01-31,0,1,0.806424549123,0.193575450877
2019-02-28,1,0,0.134652338685,0.865347661315
2019-03-31,1,0,0.00367230469125,0.996327695309
2019-04-30,1,0,0.000631319890373,0.99936868011
2019-05-31,1,0,0.0634167726496,0.93658322735
2019-06-30,1,0,0.00320577907042,0.99679422093
2019-07-31,1,0,0.00264009829734,0.997359901703
2019-08-31,1,0,0.0944327100595,0.905567289941
2019-09-30,1,0,0.0108973808109,0.989102619189
2019-10-31,1,0,0.000869737224574,0.999130262775
2019-11-30,1,0,0.000667118282393,0.999332881718
2019-12-31,1,0,0.000948231942446,0.999051768058
2020-01-31,1,0,0.0822842144603,0.91771578554
2020-02-29,0,1,1,2.32167757863e-42
2020-03-31,0,1,1,5.65414633959e-96
2020-04-30,0,1,1,1.35252870871e-26
2020-05-31,0,1,0.999999999999,6.82623283984e-13
2020-06-30,0,1,1,2.52894841902e-18
2020-07-31,0,1,0.999999974459,2.55414455173e-08
2020-08-31,0,1,0.999999999951,4.94108436639e-11
2020-09-30,0,1,0.999999999945,5.50137180174e-11
2020-10-31,0,1,1,1.64276815841e-36
2020-11-30,0,1,0.999399725137,0.00060027486268
